,class,text
1,5,“EVERYbody calling you Nigger now!” https://t.co/6mguJ6KIBF
3,5,@WhiteHouse @realDonaldTrump Fuck ice. White supremacist trash. All of you are racist garbage. https://t.co/o2OB4yUnex
5,6,#sissy faggot https://t.co/bm1nk8HcYO
9,5,Who dafuqq is this nigga https://t.co/D6YwVyGjNZ
10,16,bf: move your bighead 😅😂  gf: NIGGA WHAT?? THAT’S WHY YOUR DADDY LEFT YOU IN ‘08!! https://t.co/rvA65cGaZs
19,5,"@machinegunkelly and @lilxanfuhyobih are the Jack and Ennis from Brokeback (faggot) Mountain, y'all. https://t.co/2BcznhTp6h"
23,16,Fuck u England u little twat! https://t.co/zfYB5tgEgY
30,5,STFU NIGGA GOD DAMN https://t.co/f7SkanAMpz
35,5,Bumping “If you love me” like 🗣NIGGA! https://t.co/cFjOHmfdfK
36,5,@l3renaissance This nigger ☠️😂😂 https://t.co/Vwnm8XbWKS
38,6,BIG DYKE ENERGY RIGHT THERE https://t.co/NrEPGfNODY
39,5,a match made in nigger heaven https://t.co/Cln2Y6hXXT
40,5,“That’s a good nigger” https://t.co/DgpcdSYhZL
43,5,I would body this nigga if I ever seen him 🙅🏾‍♂️ https://t.co/CBVAOwmSTW
46,16,this nigga Murda Mook smoking a e-cig from Royce Da 5’9 foot I want this nigga GONE https://t.co/UhScC5yBqj
54,5,"@Manijurdan THIS NIGGA HITTING FLIPS AND SHIT, WHOLE SQUAD FINNA BE LIKE https://t.co/WmH219BZJz"
55,6,@LokoHobo1 No u   Faggot https://t.co/r7ymL0vePJ
56,6,Faggot in chastity like it should be 24/7! https://t.co/Jr16ndG7Ks
62,5,@keywilliamss This lil nigga wanna snatch his chains so bad😂 https://t.co/FZaBq5JAWj
69,16,Julias asked if I'm taking my excersize bike to London. Da feck she trying to say. Daft bint. https://t.co/8zSjRR0WaQ
74,5,#NOWPLAYING B.o.B - NAGA - Good Nigger Sticker Circle Radio https://t.co/WTkAvXIryq https://t.co/r1VVfaThHR
76,5,I SHOOT TO KILL NIGGER.  https://t.co/U0dsu593pE https://t.co/LnfHFh4RuP
82,16,I was cleaning up and suddenly this nigga pulled up talking bout shots fired. Who wit it https://t.co/NVusrWHIUK
86,5,@FarquaadLegotm Nigger https://t.co/YqEgKSfuic
91,16,Right when I’m on a diet? You can twat right off. https://t.co/qtpbPoPwu4
92,6,@RockwelsRevenge @ayoariberry i imagine it’s the same way he rationalizes looking like a complete faggot https://t.co/A5IrPcOomK
96,5,I’m upset with other Nigger’s. What they doing. 😬💔🤷‍♂️😂😂🔥🔥 https://t.co/Ph5OZSp6Qn
